Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
EL AMOR DE SU VIDA,Grupo Frontera,EL AMOR DE SU VIDA,8/3/2023,DGA062382895,474590289.0,78.0,"24,891",171,115.9,
About Damn Time,Lizzo,About Damn Time,4/14/2022,USAT22202139,847025688.0,66.0,"104,052",172,115.6,
Closer,The Chainsmokers,Closer,7/29/2016,USQX91601347,2880536961.0,80.0,"285,381",173,114.6,
FLOWER,JISOO,ME,3/31/2023,KRA402300002,440364356.0,70.0,"26,107",174,114.3,
PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar maï¿½ï¿,10/13/2023,QMFME2364199,689181455.0,83.0,"61,138",175,114.2,
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,10/6/2023,USUG12306085,372248119.0,,"68,037",176,113.2,
Havana (feat. Young Thug),Camila Cabello,Havana,8/3/2017,USSM11706905,2072182782.0,75.0,"194,332",177,112.8,
LUNA,Feid,FERXXOCALIPSIS,12/1/2023,USUM72318216,606124553.0,86.0,"40,628",178,112.6,
I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,6/3/2022,USUM72208023,827950825.0,73.0,"118,965",179,112.5,
Bones,Imagine Dragons,Bones,3/11/2022,USUM72201759,1227475431.0,78.0,"180,053",180,112.0,
Segï¿½ï¿½n Qu,Maluma,Segï¿½ï¿½n Qu,8/17/2023,USSD12300400,571366508.0,79.0,"32,236",182,111.8,
Selfish,Justin Timberlake,Selfish,1/25/2024,USRC12400001,92932220.0,,"8,847",181,111.8,
golden hour,JVKE,golden hour,7/15/2022,GBKPL2204171,1126986320.0,73.0,"200,887",183,111.4,
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,3/27/2020,GBAHT2000942,2074721986.0,77.0,"255,296",184,111.3,
Get It Sexyy,Sexyy Red,Get It Sexyy,3/15/2024,QZSYP2454435,89362910.0,84.0,"7,377",185,111.1,
"This Wish - From ""Wish""",Ariana DeBose,"This Wish (From ""Wish"")",10/18/2023,USWD12328242,26674909.0,19.0,"2,673",186,110.9,
IDGAF (feat. Yeat),Drake,For All The Dogs,10/6/2023,USUG12306072,406875019.0,,"85,93",187,110.8,
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214888,1421763497.0,78.0,"152,592",188,110.7,
Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),1/10/2020,USSM11914962,1237874594.0,67.0,"276,882",189,110.2,
Escapism.,RAYE,Escapism. / The Thrill Is Gone.,10/12/2022,QMDA62217995,804925777.0,75.0,"128,247",190,110.1,
Stargazing,Myles Smith,Stargazing,5/10/2024,GBARL2400510,106599323.0,87.0,"9,406",191,109.8,
Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",6/17/2022,USUG12204897,971473231.0,78.0,"239,671",192,109.7,
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,7/3/2020,USUM72013339,1125681368.0,72.0,"251,023",193,109.5,
Memories,Maroon 5,Memories,9/20/2019,USUM71913350,2011072164.0,77.0,"222,804",194,109.3,
Classy 101,Feid,Classy 101,3/31/2023,USUM72304895,872148396.0,78.0,"90,726",195,109.1,
Whatever,Kygo,Whatever,1/19/2024,USRC12302637,222354971.0,83.0,"17,551",196,109.0,
Whatever She Wants,Bryson Tiller,Whatever She Wants,2/13/2024,USRC12400299,207093873.0,87.0,"23,181",197,108.4,
Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),8/4/2023,DEA622301801,361517395.0,80.0,"119,783",198,107.8,
"yes, and?",Ariana Grande,"yes, and?",1/12/2024,USUM72400048,416813996.0,,"22,468",199,107.5,
Without Me,Halsey,Without Me,10/4/2018,USUM71813499,2042792456.0,75.0,"198,888",200,107.4,
meet the grahams,Kendrick Lamar,meet the grahams,5/3/2024,USUG12400909,65520394.0,,"8,933",201,107.3,
First Person Shooter (feat. J. Cole),Drake,For All The Dogs,10/6/2023,USUG12306071,328526298.0,,"72,252",202,107.1,
Shallow,Lady Gaga,Shallow,9/27/2018,USUM71813192,2447973078.0,78.0,"221,822",204,106.9,
Thunder,Imagine Dragons,Thunder,4/27/2017,USUM71704167,2384768901.0,79.0,"244,951",203,106.9,
Rush,Ayra Starr,Rush,9/16/2022,NGA3B2216004,371886608.0,67.0,"98,009",205,106.4,
abcdefu,GAYLE,abcdefu,8/13/2021,USAT22103652,1128273165.0,70.0,"193,857",206,106.2,
Buga,Kizz Daniel,Buga,5/3/2022,USUYG1425645,86516910.0,57.0,"30,835",208,105.8,
Bad Habit,Steve Lacy,Bad Habit,6/29/2022,USRC12201440,1087938471.0,73.0,"220,515",207,105.8,
MONEY,LISA,LALISA,9/10/2021,KRA402100099,1189335848.0,73.0,"103,236",210,105.5,
Columbia,Quevedo,Columbia,7/7/2023,BK4DA2310533,721002940.0,79.0,"84,161",209,105.5,
LADY GAGA,Peso Pluma,LADY GAGA,6/22/2023,QM7282306246,684204777.0,78.0,"48,37",212,105.2,
Woman,Doja Cat,Planet Her,6/25/2021,USRC12101532,1606950381.0,78.0,"217,443",211,105.2,
CUFF IT,Beyoncï¿,RENAISSANCE,7/29/2022,USSM12206232,795960535.0,73.0,"100,204",213,104.9,
KING KONG,TREASURE,KING KONG,5/28/2024,KRA402400030,8078265.0,68.0,207,214,104.5,
How You Like That,BLACKPINK,How You Like That,6/25/2020,KRA402000111,1033109188.0,68.0,"82,17",215,104.5,
Milf Song,The Puddleducks,Milf Song,8/19/2022,QZMEP2285895,1165982.0,28.0,"1,176",216,104.5,
Nasty,Tinashe,Nasty,4/12/2024,USLD91757578,31612906.0,76.0,"3,887",217,104.4,
